,City,Country,Latitude,Longtitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
353,sioux lookout,NO,69.6496,18.957,283.51,81,75,1.03,1631703097
354,mata,CL,-45.5752,-72.0662,280.12,81,100,4.12,1631703098
355,tromso,LY,31.7566,13.9942,303.02,29,48,3.74,1631703100
356,coihaique,PH,6.7085,121.9711,300.18,86,54,2.46,1631703101
357,bani walid,PE,-5.2269,-75.6753,295,80,13,0.35,1631702686
358,isabela,YE,14.1951,43.3152,309.29,47,13,8.17,1631703102
359,lagunas,NE,18.7369,7.3853,311.04,20,4,0.49,1631702730
360,zabid,TD,9.1104,18.3463,305.12,62,40,2.06,1631703104
361,arlit,NG,12.2233,8.5325,302.24,74,0,1.54,1631703105
362,kibala,MU,-19.9842,57.6142,298.42,69,13,4.92,1631703107
363,kunya,US,29.3627,-100.8968,299.21,65,1,2.06,1631703108
364,cap malheureux,PH,20.4487,121.9702,302.3,75,45,2.16,1631703109
365,del rio,KR,37.5683,126.9778,297.88,50,20,5.66,1631702949
366,basco,PE,-12.0432,-77.0282,288.09,89,90,2.06,1631702516
367,seoul,RU,55.65,109.3167,279.81,80,40,2.58,1631702584
